Input.ngram,MTurk_label
"Information in the news releases, including product prices and specifications, content of services and contact information, is current on the date of the press announcement, but is subject to change without prior notice. TOKYO Toshiba Corporation (TOKYO 6502) and Toshiba Memory Corporation ( TMC ) today filed a petition with the Tokyo District Court against Western Digital Corporation, a U.S. company, and its subsidiary Western Digital Technologies, Inc. (collectively, WD ) (NASDAQ: WDC), seeking a provisional disposition order for an injunction against acts of unfair competition, and also brought suit for a permanent injunction, damages and payment of 120 billion yen, alleging violation of the Unfair Competition Prevention Act, among other things. The lawsuit states, as detailed in Toshiba s June 2, 2017 press release, Update on Status of Third-party Investment in the Memory Business, that WD has continually interfered with the bid process related to the sale of TMC. ",True
"Zscaler, Inc. , the leader in cloud security, today announced the dismissal with prejudice of all patent lawsuits filed by Symantec against Zscaler. The dismissal resulted from the execution of a full and complete settlement agreement between Zscaler and Broadcom, Inc. following Broadcom s acquisition of the patents underlying the Symantec lawsuits as a part of its purchase of the Symantec enterprise security business. In connection with the settlement, Zscaler will make a payment of $15 million to Broadcom, and Broadcom provides Zscaler with a patent license, release, and covenant not to sue. The other terms of the settlement are confidential. ""We are pleased that we were able to reach an amicable agreement with Broadcom to resolve the lawsuits,"" said Jay Chaudhry, Chairman and CEO.",True
"The judge entered an order on May 15 consolidating all related cases and appointing the Public Funds Group - comprised of the Cobb County Government Employees' Pension Plan, the Dekalb County Pension Plan and the Mississippi Public Employees Retirement System - to be appointed as lead plaintiffs. Plaintiffs filed their Consolidated Class Action Complaint on November 14, 2008 adding a former managing director and treasurer of Maxim to its defendants list. The defendants responded by filing motions to dismiss the Consolidated Class Action Complaint on January 30, 2009. On July 16, 2009, Judge James Ware granting in part and denying in part Maxim Integrated Products, Inc. s motion to dismiss and denied the individual defendant s motion to dismiss. On December 11, 2009, the lead plaintiffs filed a motion to certify the class. ",False
" The EPA is taking an important step toward safeguarding Americans from a dangerous neurotoxin, said Margaret Hsieh, an attorney on NRDC s litigation team. The agency decided to reissue the rule instead of defending in court the decision to withdraw it. Protecting the public and not responding to a lawsuit should have been motivation enough for this sensible action. Mercury can disrupt brain function and damage the nervous system. It is especially harmful to pregnant women, babies, and young children, even at low levels of exposure the EPA itself estimates that more than 75,000 babies are born each year with increased risk for learning disabilities associated with prenatal exposure to mercury pollution. ",True
"On June 10, 2019, Barco filed suit against Vivitek Corporation and its parent company Delta Electronics, Inc. in the United States for infringing Barco s ClickShare patents via their wireless presentation devices, including the LauncherPlus device and the NovoEnterprise unit. Barco also filed suit against Sahara Presentation Systems regarding its Clevershare and Clevertouch Pro products. ClickShare is Barco s solution for the wireless meeting room experience",True
"You also may not ""mirror"" any Content contained in the Site without express written consent from Xilinx. Permission is granted to display, copy, distribute and download the Content for personal, non-commercial use only, provided you don't modify or alter the Content and you retain the copyright and other proprietary notices contained in the Content. This permission terminates automatically if you breach any of these Terms. Upon termination, you must immediately destroy any downloaded or printed Content. Any unauthorized use of Content or the Site may violate laws or regulations, including those related to copyright, trademarks, privacy and publicity, and communications.",False
SanDisk v. Silicon Motion (2008). Lead counsel for Silicon Motion in ITC investigation involving semiconductor technology. ALJ Bullock ruled in favor of Silicon Motion; Commission affirmed. * Some of the above matters were handled by Mike prior to joining Sidley.,True
"However, the Taiwan Consumer Protection Commission (CPC) claimed it ""cannot accept"" such a response, because even if customers use the coupons, the price would still exceed the market price in Taiwan and other countries. On July 29, 2009, the CPC fined Dell $30,000 because Dell did not establish its bona fides with its customers on this issue. The CPC stated ""If Dell wouldn't have the agreement with the customers within two weeks, the company will not only be suspended its business in Taiwan but also penalized $45,000 each day"" . On June 28, 2010, The New York Times described a civil case against Dell in Federal District Court in North Carolina , in which Dell shipped at least 11.8 million computers from May 2003 to July 2005 that were at risk of failing because of faulty capacitors made by the Japanese manufacturer Nichicon . The suit alleges that these faulty components in Dell's OptiPlex desktop computers, were known by Dell to cause problems or computer failure up to 97 percent of the time over a three-year period, and yet it is alleged that Dell knowingly concealed these component problems from customers.",True
"Alexander invested as much as $15,000 in: Pericom Semiconductor, a company that has designed technology for the closed-circuit television and video surveillance markets ; RF Micro Devices designs, which manufactures high-performance radio frequency technology that is also used for surveillance; and Synchronoss Technologies , a cloud storage firm that provides a cloud platform to mobile phone carriers (the NSA has been accused of hacking into cloud storage providers). In addition, RF Micro Devices secured nearly $13 million in R&D contracts from the US government between 2004 and 2010, with most of that money coming from the Defense Department. And while Pericom doesn't seem to have any direct contracts with the government, its products are (or were) used by Harris Corporation, the manufacturer of Stingray cell tower spoofers . Alexander also held shares in Datascension, Inc ., a data gathering and research company.",False
"A global team handling highly complex and sensitive matters in all aspects of litigation. On March 22, 2010, WilmerHale obtained a significant victory in the US International Trade Commission on behalf of its clients Integrated Device Technology, Inc. (IDT) and Grace Semiconductor Manufacturing Corporation (Grace) in a patent infringement action relating to the manufacture of semiconductor wafers. The ITC ruled that the asserted claims of the patent-in-suit were invalid, that there was no violation of Section 337 of the Tariff Act of 1930, and terminated the investigation. The investigation, instituted in May 2008, was based on a complaint filed by complainants LSI Corporation and",True
"the following companies: Murata Manufacturing Co., Ltd.; Murata Electronics North America, Inc.; Murata Power Solutions, Inc.; Panasonic Corporation; Panasonic Corporation of North America; Panasonic Electronic Devices Co. Ltd; Panasonic Electronic Devices Corporation of America; Sagami Elec Co., Ltd.; Sagami America, Ltd.; Sumida Corporation; Sumida Electric Co., Ltd.; Sumida America Components, Inc.; Taiyo Yuden Co., Ltd.; Taiyo Yuden (U.S.A.) Inc.; TDK Corporation; TDK-EPC Corporation; TDK Corporation of America; TDK U.S.A. Corporation; Tokin Corporation; and Tokin America, Inc. Plaintiffs allege that these Defendants formed a cartel to fix and stabilize prices for Inductors sold or shipped to the United States. The Court has set a hearing on Defendants Motion to Dismiss, scheduled for May 2, 2019. In the meantime, discovery is progressing, and the Court has set a schedule in the case. ",True
"Darfon Electronics Corp., a Taiwanese corporation, Counter-defendant, represented by Harold H. Davis, Jr. , K&L Gates LLP, Jay Chih-Fan Chiu , K&L Gates LLP & Rachel Elizabeth Burnim , KL Gates LLP. WHEREAS, Plaintiffs and Counterclaim-Defendants Darfon Electronics Corporation and Darfon America Corporation (collectively, ""Darfon"") and Defendants and Counterclaim-Plaintiffs Lite-On Singapore Pte., Ltd., Lite-On Technology Corporation, Lite-On Trading USA, Inc., and Lite-On Electronics (Guangzhou) Ltd. (collectively, ""Lite-On Defendants"") (together with Darfon, ""the Parties"") have reached an agreement in principle to settle this action; WHEREAS, the Parties are continuing the process of finalizing a written settlement agreement; WHEREAS, the Parties believe full settlement is imminent, and wish not to burden the Court or one another with unnecessary proceedings while the settlement process is completed; WHEREAS, the Parties are due to exchange proposed terms for claim construction on March 8, 2019; WHEREAS, the Parties are due to exchange preliminary claim constructions and produce extrinsic evidence on March 29, 2019; ",True
"In June 2003, ECD acquired Texaco Energy Systems' share for $1.00, effective December 31, 2002, and 100% ownership was assumed by ECD. The name was changed to Ovonic Fuel Cell Company LLC. In October 2000, Texaco Ovonic Hydrogen Systems, LLC was formed as a 50/50 joint venture between ECD Ovonics and Texaco Energy Systems, Inc. to develop and market ECD's metal hydride hydrogen technology. ",False
"A federal grand jury indicted Dr. Gleason last year on criminal charges related to his participation in the scheme to increase Xyrem sales. A former sales manager for Orphan, David Tucker, pleaded guilty in March to a single felony count of introducing a misbranded drug into interstate commerce. Tucker was Lauterbach s boss and is alleged to have promoted using Dr. Gleason for speaking events. Orphan will pay to the federal government $3.75 million plus interest out of the $20 million settlement to resolve the qui tam lawsuit. Attorney Kelton and Larry Zoglin, a San Francisco attorney with Phillips & Cohen, praised the work of the U.S. attorney s office in Brooklyn on the case. ",True
"A Milpitas technology company won an unfair competition lawsuit filed by a Sunnyvale competitor, the company announced Monday. A jury found in favor of Integrated Silicon Solution, Inc. as to all causes of action alleged against it by GSI Technology, Inc. GSI had filed suit against ISSI in the United States District Court for the Northern District of California in October 2013 alleging trade secret misappropriation and unfair competition. Following a four-week trial in San Jose, the jury rejected GSI's claims against ISSI. Other GSI claims, including antitrust allegations, were dismissed in pre-trial rulings. ",True
"Silicon Image, Inc. v. Genesis Microchip Inc., 271 F.Supp.2d 840 (E.D.Va. 2003). The issue before us is whether or not there is a final judgment from which an appeal may be taken within the meaning of 28 U.S.C. 1295(a)(1) (final judgment rule).",True
"It named a new vice president of worldwide operations and an executive to oversee Europe, the Middle East and Asia. ""While we do not believe it is prudent to give full year guidance due to the rapidly changing market conditions, we are providing an outlook for the first quarter,"" Lexar said. The company put quarterly revenue at $200 million and its loss of 2 cents to 6 cents a share, excluding litigation spending. Analysts had expected the company to lose 22 cents a share on revenue of $199.1 million. Wednesday night's verdict could mark a significant shift in the flash-memory market because Lexar plans to seek an injunction barring Toshiba from selling products that incorporate the technology, known as ""NAND,"" in the U.S.",False
"However, the foundation that made National successful was its expertise in analog electronics , TTL ( transistor transistor logic ) and MOSFET (metal-oxide-semiconductor field-effect transistor) integrated circuit technologies. As they had while employed in Fairchild, Sporck and Lamond directed National Semiconductor towards the growing industrial and commercial markets and began to rely less on military and aerospace contracts. Those decisions coupled with inflationary growth in use of computers provided the market for the expansion of National. Meanwhile, sources of funds associated with Sprague coupled with creative structuring of cash flow buffering due to Sporck and Lamond provided the financing required for that expansion. Lamond and Sporck had also managed to attract and extract substantial funds to finance the expansion.",False
